 SPHEROID: Oblate
 Refractive index:  1.3300  0.0000 i     Lambda=10.000 mkm     a/b = 20.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
  17.03  6.28 17.06    50  1.9705D-01  1.1144D-01  8.5610D-02  2.6051D-01  1.9046D-01  7.0050D-02
  17.03  6.28 17.06    60  2.9090D-01  1.9342D-01  9.7477D-02  4.1067D-01  3.2773D-01  8.2949D-02
  17.03  6.28 17.06    70  6.2671D-01  4.6610D-01  1.6061D-01  9.5659D-01  7.5648D-01  2.0011D-01
  17.03  6.28 17.06    80  1.4955D+00  1.1032D+00  3.9234D-01  2.3235D+00  1.7582D+00  5.6539D-01
  17.03  6.28 17.06    90  5.6844D+00  4.1313D+00  1.5531D+00  8.8715D+00  6.5759D+00  2.2956D+00
 ================================================================================================
 SPHEROID: Oblate
 Refractive index:  1.2000  0.3000 i     Lambda=10.000 mkm     a/b = 20.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
 ++K=   1  RI,C1,C2=    1.2000    0.3000   17.0339   20.4406    5.1102
 ================================================================================================
 SPHEROID: Oblate
 Refractive index:  1.2000  0.1000 i     Lambda=10.000 mkm     a/b = 20.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
  17.03  6.28 17.06     0  2.7946D-01  8.5853D-02  1.9361D-01
  17.03  6.28 17.06    10  2.8208D-01  8.6211D-02  1.9586D-01  2.3172D-01  1.7773D-01  5.3991D-02
  17.03  6.28 17.06    20  2.9036D-01  8.7328D-02  2.0303D-01  2.4904D-01  1.1450D-01  1.3454D-01
  17.03  6.28 17.06    30  3.0534D-01  9.0405D-02  2.1494D-01  2.7758D-01  1.1880D-01  1.5878D-01
  17.03  6.28 17.06    40  3.2993D-01  9.8564D-02  2.3136D-01  3.2318D-01  1.4211D-01  1.8107D-01
  17.03  6.28 17.06    50  3.7307D-01  1.1928D-01  2.5380D-01  4.0261D-01  1.8928D-01  2.1333D-01
  17.03  6.28 17.06    60  4.6709D-01  1.8644D-01  2.8065D-01  5.1870D-01  2.8124D-01  2.3747D-01
  17.03  6.28 17.06    70  8.1377D-01  4.0277D-01  4.1099D-01  9.7647D-01  5.4996D-01  4.2651D-01
  17.03  6.28 17.06    80  1.8796D+00  9.2947D-01  9.5015D-01  2.3674D+00  1.2249D+00  1.1425D+00
  17.03  6.28 17.06    90  7.2153D+00  3.4719D+00  3.7434D+00  9.2116D+00  4.5493D+00  4.6622D+00
 ================================================================================================
 SPHEROID: Oblate
 Refractive index:  1.3300  0.0000 i     Lambda=10.000 mkm     a/b =  2.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
   2.06  1.88  2.37     0  3.4346D-01  3.4346D-01  5.3008D-10
   2.06  1.88  2.37    10  3.4361D-01  3.4361D-01  5.2568D-10  3.5482D-01  3.5482D-01 -1.1507D-11
   2.06  1.88  2.37    20  3.4518D-01  3.4518D-01  2.4019D-10  3.8768D-01  3.8768D-01 -9.2478D-12
   2.06  1.88  2.37    30  3.5113D-01  3.5113D-01 -1.4119D-11  4.3909D-01  4.3909D-01 -5.6611D-12
   2.06  1.88  2.37    40  3.6520D-01  3.6520D-01 -1.5354D-10  5.0622D-01  5.0622D-01 -1.0311D-12
   2.06  1.88  2.37    50  3.9086D-01  3.9086D-01 -2.1292D-10  5.8783D-01  5.8783D-01  4.2740D-12
   2.06  1.88  2.37    60  4.3012D-01  4.3012D-01 -1.7971D-10  6.8366D-01  6.8366D-01  9.8798D-12
